
2023-06-20/18:49:27		Start of Validation on files for prediction!!
2023-06-20/18:49:28		Raw Data Validation Complete!!
2023-06-20/18:49:28		Creating Training_Database and tables on the basis of given schema!!!
2023-06-20/18:49:28		Table creation Completed!!
2023-06-20/18:49:28		Insertion of Data into Table started!!!!
2023-06-20/18:49:31		Insertion in Table completed!!!
2023-06-20/18:49:31		Deleting Good Data Folder!!!
2023-06-20/18:49:31		Good_Data folder deleted!!!
2023-06-20/18:49:31		Moving bad files to Archive and deleting Bad_Data folder!!!
2023-06-20/18:49:31		Bad files moved to archive!! Bad folder Deleted!!
2023-06-20/18:49:31		Validation Operation completed!!
2023-06-20/18:49:31		Extracting csv file from table
